ingredient,root
absynthe,absinthe
absinthe,absinthe
bos taurus,acidophilis milk
acidophilis milk,acidophilis milk
acidulated water,acidulated water
bols,advocaat
warninks,advocaat
advocaat,advocaat
pale ale,ale
porter,ale
stout,ale
ale,ale
almond liqueur,almond liqueur
prunus dulcis,almond milk
almond milk,almond milk
amaretto,amaretto
añejo rum,amber rum
brown rum,amber rum
gold rum,amber rum
amber rum,amber rum
french,amer picon
amer picon,amer picon
angostura® bitters,angostura® bitters
anesone,anise
aniseed,anise
anise,anise
french,anisette
anisette,anisette
aperitif,apéritif
apertivo,apéritif
apéritif,apéritif
apple jack (is the inferior american version),apple brandy
applejack (is the inferior american version),apple brandy
calva (cal-vah-dohs the french version),apple brandy
calvados (cal-vah-dohs the french version),apple brandy
cider brandy,apple brandy
eau-de-vie de cidre,apple brandy
eau-de-vie de marc de cidre,apple brandy
apple brandy,apple brandy
malus domestica,apple cider
apple cider,apple cider
malus domestica,apple juice
apple juice,apple juice
apple schnapps,apple schnapps
abricotine,apricot brandy
barack,apricot brandy
barack pálinka,apricot brandy
apricot brandy,apricot brandy
apricot liqueur,apricot liqueur
akevit,aquavit
akvavit,aquavit
snaps,aquavit
aquavit,aquavit
arack,arak
arrack,arak
arraki,arak
raki,arak
arak,arak
french,armagnac
armagnac,armagnac
flavored wine,aromatized wine
aromatized wine,aromatized wine
ascorbic acid,ascorbic acid
b&b,b&b
shaojiu,baijiu
baijiu,baijiu
baker's caramel,baker's caramel
aceto balsamico,balsamic vinegar
aceto di balsamico,balsamic vinegar
balsamic vinegar,balsamic vinegar
french,banyuls
banyuls,banyuls
barbera,barbera
barley syrup,barley malt syrup
dark malt syrup,barley malt syrup
extract of malted barley,barley malt syrup
malt syrup,barley malt syrup
malted cereal syrup,barley malt syrup
barley malt syrup,barley malt syrup
batavia arrack,batavia arak
batavia arak,batavia arak
bauchant,bauchant
bayberry juice,bayberry juice
french,beaujolais
beaujolais,beaujolais
bos taurus,beef base
beef base,beef base
beef bouillon cubes,beef bouillon cubes
bos taurus,beef broth
beef broth,beef broth
bos taurus,beef stock
beef stock,beef stock
beer,beer
benedictine,bénédictine
bénédictine d.o.m.,bénédictine
bénédictine,bénédictine
berry wine,berry wine
bitter spirits,bitter liqueurs
bitters,bitter liqueurs
bitter liqueurs,bitter liqueurs
bigarade orange juice,bitter orange juice
seville orange juice,bitter orange juice
sour orange juice,bitter orange juice
bitter orange juice,bitter orange juice
vinegar,black currant vinegar
black currant,black currant vinegar
black currant vinegar,black currant vinegar
black muscat wine,black muscat wine
red tea,black tea
tea,black tea
black,black tea
black tea,black tea
dark treacle,black treacle
black treacle,black treacle
kroatzbeere,blackberry liqueur
marie brizard,blackberry liqueur
blackberry liqueur,blackberry liqueur
black strap molasses,blackstrap molasses
molassas,blackstrap molasses
blackstrap,blackstrap molasses
blackstrap molasses,blackstrap molasses
american,blended whiskey
blended whiskey,blended whiskey
vinegar,blueberry vinegar
blueberry,blueberry vinegar
blueberry vinegar,blueberry vinegar
pink wine,blush wine
rose wine,blush wine
rosé wine,blush wine
blush wine,blush wine
bockbier,bock beer
bock beer,bock beer
bordeaux wine (red),bordeaux wine (red)
bordeaux wine (white),bordeaux wine (white)
american,bourbon whiskey
bourbon whiskey,bourbon whiskey
brandy,brandy
qaimaaq,breakfast cream
breakfast cream,breakfast cream
brown ale,brown ale
rice bran syrup,brown rice syrup
rice malt,brown rice syrup
rice syrup,brown rice syrup
yinnie syrup,brown rice syrup
brown rice syrup,brown rice syrup
oryza,brown rice vinegar
brown rice vinegar,brown rice vinegar
gravy browning,browning
browning,browning
burgundy wine (red),burgundy wine (red)
burgundy wine (white),burgundy wine (white)
bos taurus,buttermilk
buttermilk,buttermilk
french,byrrh
byrrh,byrrh
cabernet franc,cabernet franc
cab,cabernet sauvignon
cabernet sauvignon,cabernet sauvignon
burning water,cachaça
cachaca,cachaça
pinga,cachaça
cachaça,cachaça
calamondin juice,calamondin juice
campari bitters,campari
campari,campari
canadian,canadian whisky
canadian whisky,canadian whisky
sukang iloko,cane vinegar
cane vinegar,cane vinegar
burnt sugar caramel,caramel coloring
caramel coloring,caramel coloring
daucus carota,carrot juice
carrot juice,carrot juice
cassis liqueur,cassis liqueur
french,chablis
chablis,chablis
tea,chamomile tea
chamomile,chamomile tea
chamomile tea,chamomile tea
french,champagne
champagne,champagne
champagne vinegar,champagne vinegar
pinot chardonnay,chardonnay
chardonnay,chardonnay
liqueur des pères chartreux,chartreuse
chartreuse,chartreuse
french,châteauneuf-du-pape
châteauneuf-du-pape,châteauneuf-du-pape
white pinot,chenin blanc
chenin blanc,chenin blanc
chéri suisse,cheri suisse
cheri suisse,cheri suisse
cherry brandy,cherry brandy
cherry grand marnier,cherry liqueurs
cherry heering,cherry liqueurs
cherry marnier,cherry liqueurs
cherry rocher,cherry liqueurs
kirschenliqueur,cherry liqueurs
peter heering,cherry liqueurs
cherry liqueurs,cherry liqueurs
italian,chianti
chianti,chianti
gallus gallus domesticus,chicken base
chicken base,chicken base
chicken bouillon cubes,chicken bouillon cubes
gallus gallus domesticus,chicken broth
chicken broth,chicken broth
gallus gallus domesticus,chicken stock
chicken stock,chicken stock
black rice vinegar,chinese black vinegar
black vinegar,chinese black vinegar
brown rice vinegar,chinese black vinegar
chekiang vinegar,chinese black vinegar
chenkong vinegar,chinese black vinegar
chinese brown rice vinegar,chinese black vinegar
chinkiang vinegar,chinese black vinegar
zhejiang vinegar,chinese black vinegar
chinese black vinegar,chinese black vinegar
hagen daz,chocolate liqueurs
mozart,chocolate liqueurs
truffles,chocolate liqueurs
chocolate liqueurs,chocolate liqueurs
apple cider vinegar,cider vinegar
cider vinegar,cider vinegar
citronge,citrónge
citrónge,citrónge
clabber,clabber cream
clabbered cream,clabber cream
clabber cream,clabber cream
clam nectar,clam juice
clam juice,clam juice
devon cream,clotted cream
devonshire cream,clotted cream
clotted cream,clotted cream
cocos nucifera,coconut butter
coconut butter,coconut butter
